PRJNA306741	SAMN04362176	root	Infected
PRJNA306741	SAMN04364218	root	Infected
PRJNA306741	SAMN04364219	root	Infected
PRJNA306741	SAMN04364221	root	Infected
PRJNA306741	SAMN04364222	root	Infected
PRJNA306741	SAMN04364223	root	Infected
PRJNA306741	SAMN04364224	root	Infected
PRJNA306741	SAMN04364225	root	Infected
PRJNA306741	SAMN04364226	root	Infected
PRJNA306741	SAMN04364228	root	Infected
PRJNA306741	SAMN04364229	root	Infected
PRJNA401337	SAMN07599986	root	Infected
PRJNA401337	SAMN07599987	root	Infected
PRJNA436822	SAMN08634308	root	Infected
PRJNA436822	SAMN08637756	root	Infected
PRJNA438579	SAMN07430298	root	Infected
PRJNA438579	SAMN07430300	root	Infected
PRJNA438579	SAMN07430306	root	Infected
PRJNA494484	SAMN10169602	root	Infected
PRJNA494484	SAMN10169603	root	Infected
PRJNA514200	SAMN10721136	root	Infected
PRJNA514200	SAMN10721137	root	Infected
PRJNA514200	SAMN10721138	root	Infected
PRJNA514200	SAMN10721145	root	Infected
PRJNA514200	SAMN10721146	root	Infected
PRJNA514200	SAMN10721147	root	Infected
PRJNA514200	SAMN10721151	root	Infected
PRJNA514200	SAMN10721152	root	Infected
PRJNA514200	SAMN10721153	root	Infected
PRJNA514200	SAMN10721159	root	Infected
PRJNA514200	SAMN10721160	root	Infected
PRJNA514200	SAMN10721161	root	Infected
PRJNA514200	SAMN10721168	root	Infected
PRJNA514200	SAMN10721169	root	Infected
PRJNA514200	SAMN10721170	root	Infected
PRJNA514200	SAMN10721174	root	Infected
PRJNA514200	SAMN10721175	root	Infected
PRJNA514200	SAMN10721176	root	Infected
PRJNA534069	SAMN11476342	root	Infected
PRJNA534069	SAMN11476343	root	Infected
PRJNA534069	SAMN11476344	root	Infected
PRJNA534069	SAMN11476392	root	Infected
PRJNA534069	SAMN11476393	root	Infected
PRJNA534069	SAMN11476394	root	Infected
