PRJNA306741	SAMN04364220	root	Control
PRJNA401337	SAMN07599985	root	Control
PRJNA436822	SAMN08633985	root	Control
PRJNA436822	SAMN08634679	root	Control
PRJNA438579	SAMN07430297	root	Control
PRJNA438579	SAMN07430299	root	Control
PRJNA438579	SAMN07430305	root	Control
PRJNA494484	SAMN10169601	root	Control
PRJNA514200	SAMN10721154	root	Control
PRJNA514200	SAMN10721155	root	Control
PRJNA514200	SAMN10721156	root	Control
PRJNA514200	SAMN10721157	root	Control
PRJNA514200	SAMN10721158	root	Control
PRJNA514200	SAMN10721177	root	Control
PRJNA514200	SAMN10721178	root	Control
PRJNA514200	SAMN10721179	root	Control
PRJNA514200	SAMN10721180	root	Control
PRJNA514200	SAMN10721181	root	Control
PRJNA514200	SAMN10721182	root	Control
PRJNA534069	SAMN11476340	root	Control
PRJNA534069	SAMN11476341	root	Control
PRJNA534069	SAMN11476345	root	Control
PRJNA534069	SAMN11476346	root	Control
PRJNA534069	SAMN11476347	root	Control
PRJNA534069	SAMN11476395	root	Control
